abstract_i,abstract_j,cosine_similarity
0,1,0.106845
0,2,0.704824
0,3,0.341219
0,4,0.221414
0,5,0.214209
0,6,0.143043
0,7,0.265816
0,8,0.16719
0,9,0.212992
0,10,0.767008
1,2,0.165953
1,3,0.047258
1,4,0.134207
1,5,0.149395
1,6,0.14684
1,7,0.098904
1,8,0.230753
1,9,0.277031
1,10,0.129042
2,3,0.171852
2,4,0.277925
2,5,0.327527
2,6,0.135648
2,7,0.149109
2,8,0.151022
2,9,0.276195
2,10,0.945008
3,4,0.054178
3,5,0.156426
3,6,0.174258
3,7,0.092225
3,8,0.00671
3,9,0.133083
3,10,0.213615
4,5,0.384335
4,6,0.268195
4,7,0.189033
4,8,0.431321
4,9,0.419954
4,10,0.258265
5,6,0.1313
5,7,0.08595
5,8,0.394118
5,9,0.36954
5,10,0.32714
6,7,0.301231
6,8,0.289368
6,9,0.263299
6,10,0.091247
7,8,0.172098
7,9,0.209911
7,10,0.165359
8,9,0.320838
8,10,0.143264
9,10,0.288518
