abstract_i,abstract_j,cosine_similarity
0,1,-0.019666
0,2,0.380467
0,3,0.526779
0,4,0.615183
0,5,0.08577
0,6,0.758479
0,7,0.349265
0,8,0.69063
0,9,0.622675
0,10,0.071089
0,11,0.62908
0,12,-0.092575
0,13,0.523782
0,14,0.626712
0,15,0.636381
0,16,0.454637
0,17,0.352849
0,18,0.199348
0,19,0.989515
0,20,0.618559
0,21,0.375526
0,22,0.119116
0,23,0.675941
1,2,0.094559
1,3,0.063427
1,4,0.040174
1,5,0.531213
1,6,0.017831
1,7,-0.083519
1,8,0.04453
1,9,0.030742
1,10,0.356724
1,11,0.034174
1,12,0.157484
1,13,0.041277
1,14,0.081606
1,15,0.023909
1,16,0.121699
1,17,0.091867
1,18,0.070134
1,19,-0.018686
1,20,-0.015558
1,21,0.040179
1,22,0.167638
1,23,-0.034473
2,3,0.358048
2,4,0.427504
2,5,0.179232
2,6,0.382682
2,7,0.255936
2,8,0.451177
2,9,0.44534
2,10,0.200828
2,11,0.432931
2,12,0.13565
2,13,0.333241
2,14,0.433031
2,15,0.471375
2,16,0.246452
2,17,0.922084
2,18,0.325065
2,19,0.391631
2,20,0.451861
2,21,0.26085
2,22,0.182892
2,23,0.48131
3,4,0.377719
3,5,0.131146
3,6,0.600725
3,7,0.265093
3,8,0.452416
3,9,0.356849
3,10,0.22507
3,11,0.396337
3,12,-0.036391
3,13,0.367382
3,14,0.527674
3,15,0.437247
3,16,0.268862
3,17,0.340531
3,18,0.187126
3,19,0.525565
3,20,0.328622
3,21,0.211541
3,22,0.096717
3,23,0.431807
4,5,0.183638
4,6,0.54913
4,7,0.251987
4,8,0.837752
4,9,0.965818
4,10,0.114323
4,11,0.968059
4,12,0.001703
4,13,0.548663
4,14,0.639085
4,15,0.839574
4,16,0.485943
4,17,0.432496
4,18,0.238906
4,19,0.630065
4,20,0.836224
4,21,0.386133
4,22,0.102653
4,23,0.694547
5,6,0.175111
5,7,0.130076
5,8,0.203207
5,9,0.18091
5,10,0.726248
5,11,0.152747
5,12,0.299763
5,13,0.281396
5,14,0.197447
5,15,0.198574
5,16,0.28937
5,17,0.165141
5,18,0.284942
5,19,0.097466
5,20,0.089534
5,21,0.256566
5,22,0.160015
5,23,0.13029
6,7,0.305228
6,8,0.69584
6,9,0.552354
6,10,0.158448
6,11,0.57483
6,12,-0.034987
6,13,0.501506
6,14,0.699778
6,15,0.600456
6,16,0.414438
6,17,0.359788
6,18,0.275347
6,19,0.758595
6,20,0.525645
6,21,0.264825
6,22,0.145599
6,23,0.675674
7,8,0.330166
7,9,0.221465
7,10,0.096277
7,11,0.248031
7,12,0.172855
7,13,0.434833
7,14,0.282863
7,15,0.281575
7,16,0.379051
7,17,0.213336
7,18,0.440328
7,19,0.377285
7,20,0.216453
7,21,0.423839
7,22,0.046223
7,23,0.313083
8,9,0.846709
8,10,0.135627
8,11,0.822686
8,12,-0.064501
8,13,0.539306
8,14,0.830022
8,15,0.84598
8,16,0.502569
8,17,0.447676
8,18,0.21723
8,19,0.72023
8,20,0.787481
8,21,0.368341
8,22,0.118677
8,23,0.852561
9,10,0.119736
9,11,0.933478
9,12,-0.00638
9,13,0.548347
9,14,0.657564
9,15,0.830754
9,16,0.469585
9,17,0.462268
9,18,0.200485
9,19,0.638789
9,20,0.876367
9,21,0.37346
9,22,0.101263
9,23,0.700643
10,11,0.090316
10,12,0.214041
10,13,0.198689
10,14,0.127559
10,15,0.108728
10,16,0.129095
10,17,0.179391
10,18,0.197943
10,19,0.075097
10,20,0.014283
10,21,0.16545
10,22,0.119768
10,23,0.129087
11,12,-0.007452
11,13,0.563395
11,14,0.647518
11,15,0.83727
11,16,0.497548
11,17,0.432036
11,18,0.227515
11,19,0.639953
11,20,0.852219
11,21,0.389419
11,22,0.119278
11,23,0.690171
12,13,0.184121
12,14,-0.020018
12,15,0.010575
12,16,0.145858
12,17,0.114688
12,18,0.320793
12,19,-0.073128
12,20,-0.020382
12,21,0.215101
12,22,0.095886
12,23,-0.074999
13,14,0.529436
13,15,0.559679
13,16,0.668285
13,17,0.311281
13,18,0.402005
13,19,0.556035
13,20,0.508601
13,21,0.660482
13,22,0.149788
13,23,0.415792
14,15,0.724476
14,16,0.473262
14,17,0.422031
14,18,0.178883
14,19,0.651558
14,20,0.634393
14,21,0.33586
14,22,0.138041
14,23,0.741179
15,16,0.449632
15,17,0.466193
15,18,0.195512
15,19,0.658297
15,20,0.823098
15,21,0.364106
15,22,0.090644
15,23,0.708187
16,17,0.213254
16,18,0.31593
16,19,0.487113
16,20,0.36437
16,21,0.751738
16,22,0.08331
16,23,0.320386
17,18,0.311244
17,19,0.362939
17,20,0.457742
17,21,0.219007
17,22,0.136113
17,23,0.462359
18,19,0.22295
18,20,0.170342
18,21,0.361227
18,22,0.14031
18,23,0.221644
19,20,0.632285
19,21,0.401631
19,22,0.118173
19,23,0.685233
20,21,0.28841
20,22,0.077012
20,23,0.692544
21,22,0.163125
21,23,0.277652
22,23,0.101703
