title_i,title_j,cosine_similarity
The Regularity of the Eta Function for Perturbations of Order -(dim <b><i>X</i></b>) of the Atiyah-Patodi-Singer Boundary Problem,The eta invariant for manifolds with boundary and holomorphic maps into the the restricted Grassmannian,0.250046
The Regularity of the Eta Function for Perturbations of Order -(dim <b><i>X</i></b>) of the Atiyah-Patodi-Singer Boundary Problem,Labor supply and time use: evidence from cohabiting women in the United States,-0.028085
The Regularity of the Eta Function for Perturbations of Order -(dim <b><i>X</i></b>) of the Atiyah-Patodi-Singer Boundary Problem,Collective field theory of gauged multi-matrix models: integrating out off-diagonal strings,0.187519
The Regularity of the Eta Function for Perturbations of Order -(dim <b><i>X</i></b>) of the Atiyah-Patodi-Singer Boundary Problem,Association between anti-nuclear antibody (ANA) positivity and autoimmune thyroid disease markers in a general examination population,0.004859
The eta invariant for manifolds with boundary and holomorphic maps into the the restricted Grassmannian,Labor supply and time use: evidence from cohabiting women in the United States,0.113564
The eta invariant for manifolds with boundary and holomorphic maps into the the restricted Grassmannian,Collective field theory of gauged multi-matrix models: integrating out off-diagonal strings,0.206821
The eta invariant for manifolds with boundary and holomorphic maps into the the restricted Grassmannian,Association between anti-nuclear antibody (ANA) positivity and autoimmune thyroid disease markers in a general examination population,-0.057972
Labor supply and time use: evidence from cohabiting women in the United States,Collective field theory of gauged multi-matrix models: integrating out off-diagonal strings,0.090089
Labor supply and time use: evidence from cohabiting women in the United States,Association between anti-nuclear antibody (ANA) positivity and autoimmune thyroid disease markers in a general examination population,-0.013473
Collective field theory of gauged multi-matrix models: integrating out off-diagonal strings,Association between anti-nuclear antibody (ANA) positivity and autoimmune thyroid disease markers in a general examination population,-0.041745
