title_i,title_j,cosine_similarity
"Mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ga</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>60</mml:mn><mml:mtext>–</mml:mtext><mml:mn>63</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> reduce x-ray burst model uncertainties and extend the evaluated <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>T</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> isobaric multiplet mass equation",Summit of the N=40 island of inversion: Precision mass measurements and ab initio calculations of neutron-rich chromium isotopes,0.723357
"Mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ga</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>60</mml:mn><mml:mtext>–</mml:mtext><mml:mn>63</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> reduce x-ray burst model uncertainties and extend the evaluated <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>T</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> isobaric multiplet mass equation","Mapping the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>N</mml:mi><mml:mo>=</mml:mo><mml:mn>40</mml:mn></mml:mrow></mml:math> island of inversion: Precision mass measurements of neutron-rich Fe isotopes",0.630605
"Mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ga</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>60</mml:mn><mml:mtext>–</mml:mtext><mml:mn>63</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> reduce x-ray burst model uncertainties and extend the evaluated <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>T</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> isobaric multiplet mass equation","Investigating nuclear structure near <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>N</mml:mi><mml:mo>=</mml:mo><mml:mn>32</mml:mn></mml:mrow><mml:mo> </mml:mo><mml:mi>and</mml:mi><mml:mo> </mml:mo><mml:mrow><mml:mi>N</mml:mi><mml:mo>=</mml:mo><mml:mn>34</mml:mn><mml:mo>:</mml:mo></mml:mrow></mml:math> Precision mass measurements of neutron-rich Ca, Ti, and V isotopes",0.685097
"Mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ga</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>60</mml:mn><mml:mtext>–</mml:mtext><mml:mn>63</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> reduce x-ray burst model uncertainties and extend the evaluated <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>T</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> isobaric multiplet mass equation","First direct <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Be</mml:mi><mml:mprescripts/><mml:none/><mml:mn>7</mml:mn></mml:mmultiscripts></mml:math> electron-capture <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mi>Q</mml:mi></mml:math>-value measurement toward high-precision searches for neutrino physics beyond the Standard Model",0.510271
"Mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ga</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>60</mml:mn><mml:mtext>–</mml:mtext><mml:mn>63</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> reduce x-ray burst model uncertainties and extend the evaluated <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>T</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> isobaric multiplet mass equation","Precision Mass Measurements Reveal Low Neutron Pairing in Tin beyond <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>N</mml:mi><mml:mo>=</mml:mo><mml:mn>82</mml:mn></mml:mrow></mml:math> and Its Impact on Stellar Nucleosynthesis",0.653342
"Mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ga</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>60</mml:mn><mml:mtext>–</mml:mtext><mml:mn>63</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> reduce x-ray burst model uncertainties and extend the evaluated <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>T</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> isobaric multiplet mass equation",An electron beam ion trap and source for re-acceleration of rare-isotope ion beams at TRIUMF,0.373308
"Mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ga</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>60</mml:mn><mml:mtext>–</mml:mtext><mml:mn>63</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> reduce x-ray burst model uncertainties and extend the evaluated <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>T</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> isobaric multiplet mass equation","Precision mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Sr</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>74</mml:mn><mml:mo>−</mml:mo><mml:mn>76</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> using the multiple reflection time-of-flight mass spectrometer at TITAN",0.757288
"Mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ga</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>60</mml:mn><mml:mtext>–</mml:mtext><mml:mn>63</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> reduce x-ray burst model uncertainties and extend the evaluated <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>T</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> isobaric multiplet mass equation","Refined Topology of the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>N</mml:mi><mml:mo>=</mml:mo><mml:mn>20</mml:mn></mml:mrow></mml:math> Island of Inversion with High Precision Mass Measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mmultiscripts><mml:mrow><mml:mi>Na</mml:mi></mml:mrow><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>31</mml:mn><mml:mo>−</mml:mo><mml:mn>33</mml:mn></mml:mrow></mml:mmultiscripts></mml:mrow></mml:math> and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mmultiscripts><mml:mrow><mml:mi>Mg</mml:mi></mml:mrow><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>31</mml:mn><mml:mo>−</mml:mo><mml:mn>35</mml:mn></mml:mrow></mml:mmultiscripts></mml:mrow></mml:math>",0.621601
"Mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ga</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>60</mml:mn><mml:mtext>–</mml:mtext><mml:mn>63</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> reduce x-ray burst model uncertainties and extend the evaluated <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>T</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> isobaric multiplet mass equation",First direct $^{7}$Be electron capture $Q$-value measurement towards high-precision BSM neutrino physics searches,0.484335
"Mass measurements of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ga</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>60</mml:mn><mml:mtext>–</mml:mtext><mml:mn>63</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> reduce x-ray burst model uncertainties and extend the evaluated <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>T</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> isobaric multiplet mass equation",Convergence on the Proton Drip-Line in Thulium,0.758302
