abstract_i,abstract_j,cosine_similarity
0,1,0.80207
0,2,0.756084
0,3,0.719778
0,4,0.819224
0,5,0.718213
0,6,0.642139
0,7,0.592567
0,8,0.803061
0,9,0.980314
0,10,0.596754
0,11,0.818657
0,12,0.628754
0,13,0.570951
0,14,0.665632
0,15,0.421435
0,16,0.753593
1,2,0.705288
1,3,0.719881
1,4,0.64365
1,5,0.650101
1,6,0.658115
1,7,0.60167
1,8,0.986627
1,9,0.786702
1,10,0.611605
1,11,0.642046
1,12,0.683034
1,13,0.602184
1,14,0.702695
1,15,0.422376
1,16,0.724782
2,3,0.732308
2,4,0.840436
2,5,0.607218
2,6,0.53609
2,7,0.574151
2,8,0.678647
2,9,0.785078
2,10,0.585901
2,11,0.846549
2,12,0.662847
2,13,0.50811
2,14,0.648932
2,15,0.460693
2,16,0.917288
3,4,0.719352
3,5,0.674066
3,6,0.623739
3,7,0.623285
3,8,0.703075
3,9,0.740335
3,10,0.604285
3,11,0.722321
3,12,0.677883
3,13,0.593789
3,14,0.787191
3,15,0.479878
3,16,0.771059
4,5,0.711446
4,6,0.61124
4,7,0.602777
4,8,0.635089
4,9,0.841102
4,10,0.601684
4,11,0.998106
4,12,0.662264
4,13,0.555024
4,14,0.678636
4,15,0.493048
4,16,0.852856
5,6,0.966457
5,7,0.621833
5,8,0.651504
5,9,0.711902
5,10,0.767095
5,11,0.706135
5,12,0.652122
5,13,0.773254
5,14,0.715566
5,15,0.512618
5,16,0.645236
6,7,0.630935
6,8,0.663885
6,9,0.619853
6,10,0.766552
6,11,0.601913
6,12,0.666935
6,13,0.801235
6,14,0.711439
6,15,0.530842
6,16,0.578362
7,8,0.567268
7,9,0.603962
7,10,0.564307
7,11,0.600166
7,12,0.743791
7,13,0.657361
7,14,0.721522
7,15,0.712411
7,16,0.647549
8,9,0.771662
8,10,0.617198
8,11,0.630239
8,12,0.675508
8,13,0.601264
8,14,0.6818
8,15,0.406432
8,16,0.70424
9,10,0.583962
9,11,0.844138
9,12,0.631647
9,13,0.564367
9,14,0.669923
9,15,0.424338
9,16,0.773507
10,11,0.592706
10,12,0.688667
10,13,0.883694
10,14,0.638893
10,15,0.609077
10,16,0.610594
11,12,0.657676
11,13,0.54429
11,14,0.673605
11,15,0.487247
11,16,0.852466
12,13,0.698205
12,14,0.796764
12,15,0.706235
12,16,0.735024
13,14,0.703251
13,15,0.605484
13,16,0.548366
14,15,0.532964
14,16,0.744911
15,16,0.53587
