abstract_i,abstract_j,cosine_similarity
0,1,0.117496
0,2,0.365567
0,3,-0.025112
0,4,0.019034
0,5,-0.061288
0,6,0.014918
0,7,0.284018
0,8,0.23001
0,9,0.081316
0,10,-0.044967
0,11,-0.010909
0,12,-0.024108
0,13,0.021964
0,14,-0.049123
0,15,0.120262
0,16,0.229279
0,17,-0.001051
0,18,0.058442
0,19,0.020141
0,20,0.132564
0,21,0.021344
0,22,0.04999
0,23,0.015872
0,24,0.23129
0,25,-0.02036
0,26,0.047893
0,27,0.022986
0,28,0.082264
0,29,0.322834
0,30,0.175972
0,31,0.153362
0,32,0.119
1,2,0.106872
1,3,-0.073842
1,4,0.014496
1,5,-0.010529
1,6,-0.073561
1,7,0.408509
1,8,0.092411
1,9,-0.081087
1,10,0.168932
1,11,-0.06003
1,12,-0.10747
1,13,-0.032352
1,14,0.018862
1,15,-0.029509
1,16,0.087101
1,17,0.003797
1,18,0.112443
1,19,0.051488
1,20,0.042278
1,21,-0.034047
1,22,-0.002929
1,23,0.056927
1,24,0.170795
1,25,0.049774
1,26,0.111152
1,27,0.265495
1,28,0.08304
1,29,0.178075
1,30,0.057926
1,31,-0.048916
1,32,0.202198
2,3,0.123516
2,4,-0.089961
2,5,0.019141
2,6,-0.024256
2,7,0.186717
2,8,0.070089
2,9,0.117342
2,10,-0.088278
2,11,-0.01413
2,12,-0.014751
2,13,0.032509
2,14,-0.102895
2,15,-0.012877
2,16,0.415796
2,17,0.155387
2,18,0.047689
2,19,0.011051
2,20,0.011722
2,21,-0.034312
2,22,0.052576
2,23,-0.07826
2,24,0.2724
2,25,-0.026443
2,26,0.05229
2,27,0.000521
2,28,0.248653
2,29,0.515481
2,30,0.110541
2,31,0.083104
2,32,0.071602
3,4,-0.088668
3,5,0.007963
3,6,-0.025575
3,7,0.023315
3,8,-0.065392
3,9,0.01771
3,10,0.032265
3,11,-0.010523
3,12,0.011196
3,13,0.000251
3,14,-0.064951
3,15,0.012109
3,16,-0.036031
3,17,0.506575
3,18,-0.004797
3,19,-0.106232
3,20,-0.067437
3,21,0.003798
3,22,0.048139
3,23,-0.053964
3,24,0.047108
3,25,-0.063852
3,26,0.02482
3,27,-0.036538
3,28,0.14418
3,29,0.114941
3,30,-0.00453
3,31,0.012699
