abstract_i,abstract_j,cosine_similarity
0,1,0.023149
0,2,-0.033475
0,3,0.052939
0,4,0.011818
0,5,0.153208
0,6,0.096416
0,7,0.008854
0,8,0.071449
0,9,-0.004522
0,10,0.042795
0,11,0.450948
0,12,-0.023235
0,13,0.035597
0,14,0.042654
0,15,0.048412
0,16,0.057478
0,17,-0.03211
0,18,-0.04386
0,19,-0.034893
0,20,-0.003051
0,21,0.043685
0,22,0.460033
0,23,0.350282
0,24,0.522927
0,25,0.347993
0,26,0.243473
0,27,0.50299
0,28,-0.078527
0,29,-0.001084
0,30,0.037533
0,31,-0.082746
0,32,0.039756
0,33,-0.010142
0,34,0.045728
0,35,0.18541
0,36,0.072137
0,37,0.032417
0,38,0.300449
0,39,0.306244
0,40,-0.020007
0,41,0.045054
0,42,0.045042
0,43,0.059887
0,44,0.095229
0,45,0.153792
0,46,0.099374
0,47,0.270148
0,48,0.42393
0,49,0.035274
0,50,0.024996
0,51,-0.019902
0,52,0.268085
0,53,0.035236
0,54,0.084357
0,55,0.41457
0,56,-0.000426
0,57,-0.057177
0,58,0.284534
0,59,0.075304
0,60,0.033852
0,61,0.059711
0,62,0.353795
0,63,0.028904
0,64,0.447599
0,65,0.384815
0,66,0.014155
0,67,0.291484
0,68,-0.035771
0,69,0.012982
0,70,0.038535
0,71,0.270449
0,72,0.02287
0,73,0.052607
0,74,0.06622
0,75,0.055359
0,76,0.073657
0,77,-0.010133
0,78,0.298642
0,79,0.046693
0,80,0.108525
0,81,0.308482
0,82,0.0584
0,83,0.011962
0,84,-0.004458
0,85,0.001386
0,86,0.018429
0,87,0.026246
0,88,0.028165
0,89,0.466827
0,90,-0.021908
0,91,0.068236
0,92,0.041701
0,93,0.027279
0,94,0.012942
0,95,0.003504
0,96,0.059803
0,97,0.263773
0,98,0.190956
0,99,0.019675
0,100,0.095615
0,101,0.14795
0,102,0.00989
0,103,0.330981
0,104,0.530244
0,105,0.00502
0,106,0.419874
0,107,0.008137
0,108,0.456045
0,109,0.401866
0,110,0.026013
0,111,0.175915
0,112,0.459175
0,113,-0.028754
0,114,-0.043585
0,115,0.137953
0,116,0.014776
0,117,0.01186
0,118,0.183211
0,119,0.001424
0,120,-0.058328
0,121,0.02863
0,122,-0.056704
0,123,0.121482
0,124,0.063105
0,125,-0.054369
0,126,0.004105
0,127,0.080228
0,128,-0.000528
0,129,0.078434
0,130,0.051137
0,131,0.064114
0,132,-0.062285
0,133,0.056708
0,134,0.007554
0,135,-0.085116
0,136,0.032731
0,137,0.043606
0,138,-0.015056
0,139,0.012887
0,140,0.028375
0,141,-0.041648
0,142,0.342738
0,143,0.002386
0,144,0.024828
0,145,0.037997
0,146,0.024886
0,147,-0.046331
1,2,0.542745
1,3,0.61679
1,4,0.277948
1,5,0.045588
1,6,0.137715
1,7,0.009512
1,8,0.807548
1,9,0.075442
1,10,0.125237
1,11,0.00552
1,12,0.000253
1,13,0.81044
1,14,0.688222
1,15,0.779239
1,16,0.671695
1,17,-0.047634
1,18,-0.05941
1,19,0.044074
1,20,0.03345
1,21,0.675577
1,22,0.115111
1,23,0.15453
1,24,0.017683
1,25,0.119339
1,26,0.163847
1,27,-0.050009
1,28,0.01069
1,29,0.443196
1,30,0.1958
1,31,0.250879
1,32,0.660291
1,33,0.716085
1,34,0.04155
1,35,0.09353
1,36,0.346109
1,37,0.714375
1,38,-0.014068
1,39,-0.083014
1,40,0.043013
1,41,0.729349
1,42,0.301524
1,43,0.777786
1,44,0.273095
1,45,0.583781
1,46,0.21707
1,47,-0.003268
1,48,0.108614
1,49,0.196103
1,50,0.198706
1,51,0.029197
1,52,0.050395
1,53,0.740018
1,54,-0.03356
1,55,-0.015859
1,56,0.672046
1,57,0.018727
1,58,0.00491
1,59,0.705717
1,60,0.614058
1,61,-0.057633
1,62,0.103616
1,63,0.665921
1,64,0.080382
1,65,0.049074
1,66,0.105104
1,67,0.001638
1,68,0.045848
1,69,0.073849
1,70,0.163355
1,71,0.040478
1,72,0.668729
1,73,0.727211
1,74,0.778943
1,75,0.800193
1,76,0.700729
1,77,0.587353
1,78,-0.020891
1,79,0.540942
1,80,0.255275
1,81,-0.013103
1,82,0.689131
1,83,0.840776
1,84,0.754144
1,85,0.761912
1,86,0.625403
1,87,0.770615
1,88,0.672874
1,89,0.030307
1,90,0.532504
1,91,0.776635
1,92,0.671873
1,93,0.783339
1,94,0.723895
1,95,0.647005
1,96,0.797845
1,97,-0.076438
1,98,0.11619
1,99,0.644343
1,100,0.099423
1,101,0.047662
1,102,0.75562
1,103,0.021639
1,104,0.067812
1,105,0.705822
1,106,0.055728
1,107,0.620743
1,108,-0.025163
1,109,-0.046256
1,110,0.603283
1,111,0.020902
1,112,0.154228
1,113,0.679003
1,114,0.076611
1,115,-0.104582
1,116,0.719138
1,117,0.685861
1,118,0.087981
1,119,0.601382
1,120,0.060437
1,121,0.609679
1,122,0.155324
1,123,0.69107
1,124,0.24381
1,125,0.520405
1,126,0.591707
1,127,0.252237
1,128,0.11432
1,129,0.738979
1,130,0.619807
1,131,0.552322
1,132,0.095341
1,133,0.358637
1,134,0.647993
1,135,0.105446
1,136,0.241763
1,137,0.70065
1,138,0.04573
1,139,0.705856
1,140,0.639701
1,141,0.076607
1,142,0.044578
1,143,0.68269
1,144,0.671519
1,145,0.627432
1,146,0.179742
1,147,0.13051
2,3,0.576427
2,4,0.206734
2,5,0.060767
2,6,0.142924
2,7,0.014026
2,8,0.506349
2,9,-0.014484
2,10,0.175306
2,11,-0.02539
2,12,0.006521
2,13,0.477428
2,14,0.639879
2,15,0.64332
2,16,0.522389
2,17,-0.069979
2,18,-0.058955
2,19,-0.02697
2,20,-0.06807
2,21,0.506598
2,22,0.033756
2,23,0.10696
2,24,-0.043922
2,25,0.033904
2,26,0.072669
2,27,-0.074541
2,28,-0.020531
2,29,0.469127
2,30,0.192637
2,31,0.205964
2,32,0.508693
2,33,0.624028
2,34,0.0077
2,35,0.061661
2,36,0.202412
2,37,0.56432
2,38,-0.037734
2,39,-0.040038
2,40,0.030001
2,41,0.574499
2,42,0.241265
2,43,0.445349
2,44,0.186353
2,45,0.351285
2,46,0.117876
2,47,-0.000315
2,48,0.061858
2,49,0.185141
2,50,0.176073
2,51,-0.041178
2,52,-0.031801
2,53,0.613954
2,54,0.06366
2,55,-0.018991
2,56,0.652795
2,57,-0.019745
2,58,0.011642
2,59,0.715267
2,60,0.70844
2,61,-0.007936
2,62,0.01738
2,63,0.705825
2,64,0.020937
2,65,0.038746
2,66,0.100838
2,67,0.004946
2,68,-0.030629
2,69,0.011818
2,70,0.167608
2,71,0.0385
2,72,0.542868
2,73,0.567469
2,74,0.419021
2,75,0.458806
2,76,0.720274
2,77,0.438049
2,78,-0.020901
2,79,0.468872
2,80,0.165889
2,81,0.049033
2,82,0.667522
2,83,0.519212
2,84,0.518857
2,85,0.531421
2,86,0.588596
2,87,0.439673
2,88,0.534132
2,89,-0.016193
2,90,0.353498
2,91,0.417285
2,92,0.788558
2,93,0.570163
2,94,0.534715
2,95,0.509437
2,96,0.466734
2,97,0.023553
2,98,0.147849
2,99,0.571511
2,100,0.101354
2,101,0.101432
2,102,0.486548
2,103,0.025288
2,104,0.048538
2,105,0.524224
2,106,0.047181
2,107,0.505928
2,108,-0.057693
2,109,-0.048837
2,110,0.488183
2,111,0.063288
2,112,0.079947
2,113,0.641457
2,114,0.015605
2,115,0.003208
2,116,0.465669
2,117,0.535131
2,118,0.059637
2,119,0.418461
2,120,0.020672
2,121,0.48271
2,122,0.07344
2,123,0.460443
2,124,0.192436
2,125,0.810616
2,126,0.457971
2,127,0.187538
2,128,0.050121
2,129,0.572378
2,130,0.343937
2,131,0.574751
2,132,0.045514
2,133,0.209008
2,134,0.359466
2,135,-0.002012
2,136,0.219519
2,137,0.517484
2,138,-0.024274
2,139,0.457793
2,140,0.635058
2,141,0.039013
2,142,0.003964
2,143,0.649566
2,144,0.485791
2,145,0.458699
2,146,0.172246
2,147,0.024685
3,4,0.213635
3,5,0.111262
3,6,0.12703
3,7,0.011191
3,8,0.586606
3,9,0.00449
3,10,0.129204
3,11,-0.010156
3,12,0.000424
3,13,0.549723
3,14,0.622299
3,15,0.611104
3,16,0.523934
3,17,-0.084112
3,18,0.030798
3,19,-0.0077
3,20,-0.039662
3,21,0.61153
3,22,0.113361
3,23,0.122675
3,24,0.044943
3,25,0.115354
3,26,0.142228
3,27,-0.030466
3,28,0.014536
3,29,0.428016
3,30,0.205448
3,31,0.31367
3,32,0.605353
3,33,0.605941
3,34,0.018477
3,35,0.09989
3,36,0.300223
3,37,0.61915
3,38,-0.026206
3,39,-0.041798
3,40,-0.02662
3,41,0.60499
3,42,0.270019
3,43,0.49526
3,44,0.286866
3,45,0.42722
3,46,0.179081
3,47,0.033136
3,48,0.11497
3,49,0.219644
3,50,0.246341
3,51,-0.03422
3,52,0.039849
3,53,0.597826
3,54,-0.003346
3,55,-0.023694
3,56,0.637422
3,57,0.0254
3,58,0.007547
3,59,0.551779
3,60,0.510534
3,61,-0.053796
3,62,0.101986
3,63,0.655563
3,64,0.09034
3,65,0.079366
3,66,0.112311
3,67,0.040363
3,68,-0.003657
3,69,0.019909
3,70,0.175388
3,71,0.018301
3,72,0.599885
3,73,0.582304
3,74,0.5006
3,75,0.541925
3,76,0.551926
3,77,0.512781
3,78,0.007978
3,79,0.427431
3,80,0.261704
3,81,-0.015145
3,82,0.72609
3,83,0.589309
3,84,0.611362
3,85,0.613101
3,86,0.578082
3,87,0.543805
3,88,0.524035
3,89,0.032057
3,90,0.433434
3,91,0.4986
3,92,0.571558
3,93,0.625886
3,94,0.621093
3,95,0.58049
3,96,0.542493
3,97,0.01618
3,98,0.111137
3,99,0.530887
3,100,0.058623
3,101,0.061366
3,102,0.608786
3,103,-0.019892
3,104,0.080872
3,105,0.598259
3,106,0.063097
3,107,0.503459
3,108,-0.021392
3,109,-0.042567
3,110,0.536545
3,111,0.022394
3,112,0.159442
3,113,0.620666
3,114,0.036541
3,115,-0.060817
3,116,0.566605
3,117,0.57788
3,118,0.095155
3,119,0.536354
3,120,0.111125
3,121,0.516105
3,122,0.135713
3,123,0.508282
3,124,0.267985
3,125,0.537645
3,126,0.486401
3,127,0.258388
3,128,0.090831
3,129,0.638111
3,130,0.364971
3,131,0.60169
3,132,0.08349
3,133,0.253774
3,134,0.40447
3,135,0.008566
3,136,0.256373
3,137,0.59524
3,138,0.043122
3,139,0.513684
3,140,0.629212
3,141,-0.032059
3,142,0.062143
3,143,0.665375
3,144,0.547589
3,145,0.461592
3,146,0.207273
3,147,0.094486
4,5,0.073382
4,6,0.088406
4,7,0.06374
4,8,0.301564
4,9,-0.026666
4,10,0.116856
4,11,0.045268
4,12,0.060784
4,13,0.333447
4,14,0.231834
4,15,0.259563
4,16,0.359706
4,17,-0.013775
4,18,0.00478
4,19,0.031628
4,20,0.075967
4,21,0.261216
4,22,0.224651
4,23,0.265815
4,24,0.14533
4,25,0.091099
4,26,0.300053
4,27,0.021284
4,28,0.026908
4,29,0.273713
4,30,0.503292
4,31,0.197669
4,32,0.189944
4,33,0.238302
4,34,0.039727
4,35,0.202459
4,36,0.829637
4,37,0.216446
4,38,0.014685
4,39,0.021123
4,40,0.019996
4,41,0.281147
4,42,0.762327
4,43,0.262375
4,44,0.629776
4,45,0.302895
4,46,0.616981
4,47,0.134087
4,48,0.297328
4,49,0.510958
4,50,0.586304
4,51,-0.013729
4,52,0.105302
4,53,0.284989
4,54,0.23641
4,55,0.078713
4,56,0.224321
4,57,0.016566
4,58,0.003732
4,59,0.266657
4,60,0.258466
4,61,0.021887
4,62,0.27178
4,63,0.24777
4,64,0.224325
4,65,0.111081
4,66,0.178668
4,67,0.142046
4,68,-0.011832
4,69,0.049168
4,70,0.505106
4,71,0.166386
4,72,0.3017
4,73,0.281718
4,74,0.367915
4,75,0.297819
4,76,0.267583
4,77,0.239363
4,78,0.086689
4,79,0.169363
4,80,0.636719
4,81,0.270032
4,82,0.286783
4,83,0.348541
4,84,0.272369
4,85,0.25651
4,86,0.295501
4,87,0.246194
4,88,0.178673
4,89,0.232612
4,90,0.346864
4,91,0.368163
4,92,0.266739
4,93,0.265411
4,94,0.254796
4,95,0.245876
4,96,0.341381
4,97,-0.059416
4,98,0.216738
4,99,0.25012
4,100,0.325707
4,101,0.343096
4,102,0.28798
4,103,0.107328
4,104,0.203373
4,105,0.253772
4,106,0.226167
4,107,0.273491
4,108,0.041141
4,109,0.051201
4,110,0.302208
4,111,0.337401
4,112,0.257882
4,113,0.238122
4,114,0.017617
4,115,0.058399
4,116,0.251522
4,117,0.249575
4,118,0.197432
4,119,0.239457
4,120,-0.000373
4,121,0.208616
4,122,0.074975
4,123,0.337531
4,124,0.619242
4,125,0.145043
4,126,0.213713
4,127,0.584988
4,128,0.055908
4,129,0.281415
4,130,0.23629
4,131,0.179054
4,132,0.051678
4,133,0.750588
4,134,0.245024
4,135,0.036829
4,136,0.523316
4,137,0.303858
4,138,-0.046614
4,139,0.227261
4,140,0.271951
4,141,0.081977
4,142,0.070547
4,143,0.257825
4,144,0.251283
4,145,0.224258
4,146,0.585265
4,147,0.040442
5,6,0.060535
5,7,0.093955
5,8,0.076038
5,9,0.012666
5,10,0.081899
5,11,0.163103
5,12,0.018615
5,13,0.041136
5,14,0.043513
5,15,0.071043
5,16,0.039979
5,17,-0.04048
5,18,-0.012521
5,19,0.012014
5,20,0.063962
5,21,0.08559
5,22,0.300782
5,23,0.3698
5,24,0.281028
5,25,0.219837
5,26,0.590945
5,27,0.150252
5,28,0.037137
5,29,-0.027775
5,30,0.091502
5,31,-0.054751
5,32,0.058705
5,33,0.08408
5,34,0.089919
5,35,0.577845
5,36,0.150305
5,37,0.07425
5,38,0.101496
5,39,0.201283
5,40,-0.010394
5,41,0.059361
5,42,0.073084
5,43,0.04106
5,44,0.138504
5,45,0.053939
5,46,0.156955
5,47,0.459436
5,48,0.40665
5,49,0.074005
5,50,0.098146
5,51,0.01813
5,52,0.166119
5,53,0.049861
5,54,0.186593
5,55,0.111168
5,56,0.07505
5,57,0.038319
5,58,0.112968
5,59,0.065998
5,60,0.075882
5,61,0.062048
5,62,0.422687
5,63,0.081359
5,64,0.336133
5,65,0.217176
5,66,0.067886
5,67,0.494552
5,68,0.000421
